timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s
1788187163.759,2,10.0.0.11,5,1,2.60,0,0.00,0.00,0.0,0.000,0.00
1788187163.759,2,10.0.0.13,0,0,0.00,1,502.20,107470.80,537354.0,0.000,0.00
1788187163.759,2,10.0.0.12,2,1,0.40,0,0.00,0.00,0.0,0.000,0.00
1788187163.759,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187165.757,2,10.0.0.11,4,1,1.20,0,0.00,0.00,0.0,0.000,2.50
1788187165.757,2,10.0.0.13,0,0,0.00,1,524.20,112178.80,560894.0,0.000,2.50
1788187165.757,2,10.0.0.12,3,1,0.60,0,0.00,0.00,0.0,0.000,2.50
1788187165.757,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,2.50
1788187165.758,1,10.0.0.11,4,1,1.20,18,16.20,1564.40,434.6,0.000,0.00
1788187165.758,1,10.0.0.13,0,0,0.00,1,524.20,112178.80,560894.0,0.000,0.00
1788187165.758,1,10.0.0.12,3,1,0.60,8,6.80,636.00,397.5,0.000,0.00
1788187167.763,1,10.0.0.11,5,1,1.60,20,18.20,1769.20,442.3,0.000,4.50
1788187167.763,1,10.0.0.13,0,0,0.00,1,543.80,116373.20,581866.0,0.000,4.50
1788187167.763,1,10.0.0.12,5,1,1.40,9,7.60,849.80,472.1,0.000,4.50
1788187167.766,2,10.0.0.11,5,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187167.766,2,10.0.0.13,0,0,0.00,1,543.80,116373.20,581866.0,0.000,0.00
1788187167.766,2,10.0.0.12,5,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187167.766,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187169.763,1,10.0.0.11,5,1,2.00,22,20.60,2065.60,469.5,0.000,4.00
1788187169.763,1,10.0.0.13,0,0,0.00,1,559.00,119626.00,598130.0,0.000,4.00
1788187169.763,1,10.0.0.12,5,1,1.80,12,10.20,1059.60,441.5,0.000,4.00
1788187169.767,2,10.0.0.11,5,1,2.00,0,0.00,0.00,0.0,0.000,0.00
1788187169.767,2,10.0.0.13,0,0,0.00,1,559.20,119668.80,598344.0,0.000,0.00
1788187169.767,2,10.0.0.12,5,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788187169.767,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187171.766,2,10.0.0.11,4,1,1.80,0,0.00,0.00,0.0,0.000,1.00
1788187171.766,2,10.0.0.13,0,0,0.00,1,580.40,124205.60,621028.0,0.000,1.00
1788187171.766,2,10.0.0.12,5,1,1.40,0,0.00,0.00,0.0,0.000,1.00
1788187171.766,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,1.00
1788187171.766,1,10.0.0.11,4,1,1.80,14,13.40,1369.40,489.1,0.000,0.00
1788187171.766,1,10.0.0.13,0,0,0.00,1,580.40,124205.60,621028.0,0.000,0.00
1788187171.766,1,10.0.0.12,5,1,1.40,12,10.40,1116.00,465.0,0.000,0.00
1788187173.769,1,10.0.0.11,4,1,1.40,17,16.00,1678.20,493.6,0.000,3.50
1788187173.769,1,10.0.0.13,0,0,0.00,1,600.80,128571.20,642856.0,0.000,3.50
1788187173.769,1,10.0.0.12,2,1,0.60,14,11.60,1251.60,447.0,0.000,3.50
1788187173.773,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,0.00
1788187173.773,2,10.0.0.13,0,0,0.00,1,600.80,128571.20,642856.0,0.000,0.00
1788187173.773,2,10.0.0.12,2,1,0.60,0,0.00,0.00,0.0,0.000,0.00
1788187173.773,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187175.768,1,10.0.0.11,4,1,1.60,17,15.40,1650.40,485.4,0.000,2.00
1788187175.768,1,10.0.0.13,0,0,0.00,1,621.40,132979.60,664898.0,0.000,2.00
1788187175.768,1,10.0.0.12,3,1,0.80,13,11.80,1257.00,483.5,0.000,2.00
1788187175.771,2,10.0.0.11,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187175.771,2,10.0.0.13,0,0,0.00,1,621.40,132979.60,664898.0,0.000,0.00
1788187175.771,2,10.0.0.12,3,1,0.80,0,0.00,0.00,0.0,0.000,0.00
1788187175.771,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187177.769,1,10.0.0.11,4,1,1.60,17,15.00,1500.20,441.2,0.000,4.50
1788187177.769,1,10.0.0.13,0,0,0.00,1,641.80,137345.20,686726.0,0.000,4.50
